run,time_s,wall_s
1,0.026173817,0.032415409
2,0.025757723,0.031993792
3,0.025092852,0.030730840
4,0.025284240,0.031507622
5,0.026614661,0.032709576
6,0.026713673,0.032213765
7,0.027305980,0.034444301
8,0.026979292,0.032819667
9,0.027961249,0.034527192
10,0.026788659,0.032847620
avg,0.026467215,
min,0.025092852,
max,0.027961249,
