run,time_s,wall_s
1,0.036486155,0.043405669
2,0.031831687,0.038816216
3,0.030048171,0.036196229
4,0.030875455,0.037451610
5,0.028486054,0.034853203
6,0.031039392,0.037172512
7,0.031383352,0.038030921
8,0.038586235,0.070073637
9,0.041283650,0.069501612
10,0.046491972,0.070626704
avg,0.034651212,
min,0.028486054,
max,0.046491972,
