run,time_s,wall_s
1,0.025741890,0.031861964
2,0.027456948,0.033114561
3,0.027949878,0.033564134
4,0.028629208,0.038334521
5,0.026343679,0.032687636
6,0.032218077,0.049410368
7,0.027620931,0.057799236
8,0.025454461,0.048946983
9,0.032415625,0.063271812
10,0.026771983,0.070250985
avg,0.028060268,
min,0.025454461,
max,0.032415625,
