run,time_s,wall_s
1,0.026555636,0.032854528
2,0.026402008,0.034166640
3,0.029407708,0.035507592
4,0.026584160,0.035079807
5,0.026430250,0.033436400
6,0.026957332,0.033439883
7,0.026308601,0.032809213
8,0.025386451,0.031614540
9,0.025769031,0.032434523
10,0.026727579,0.032499310
avg,0.026652876,
min,0.025386451,
max,0.029407708,
