86866,"MU:lane4_fn#001@425-429",35171453798990,35171519535121,65736131
86866,"SEG:lane4_fn#002@430-431",35171519612326,35171519612356,30
86866,"MU:lane4_fn#003@432-436",35171678810919,35171830310162,151499243
86866,"SEG:lane4_fn#004@437-438",35171830335880,35171830335900,20
86866,"MU:lane4_fn#005@439-443",35171830338034,35172182360533,352022499
86866,"SEG:lane4_fn#006@444-445",35172196609105,35172196609155,50
86866,"MU:lane4_fn#007@446-450",35172225510085,35172579217616,353707531
86866,"SEG:lane4_fn#008@451-452",35172579275414,35172579275434,20
86866,"MU:lane4_fn#009@453-457",35172579281586,35173047482063,468200477
86866,"SEG:lane4_fn#010@458-458",35173047529892,35173047529912,20
