run,time_s,wall_s
1,0.025925019,0.053826556
2,0.026509590,0.048040907
3,0.026988549,0.061713998
4,0.030789743,0.039328336
5,0.027223235,0.033343816
6,0.025884593,0.031924553
7,0.025613158,0.031147399
8,0.026613936,0.032970836
9,0.025446490,0.031608364
10,0.025432609,0.030695626
avg,0.026642692,
min,0.025432609,
max,0.030789743,
