run,time_s,wall_s
1,0.032758413,0.038953003
2,0.032096385,0.038519680
3,0.031736957,0.037837589
4,0.032351675,0.038298780
5,0.033021581,0.038767885
6,0.031952569,0.038767420
7,0.033811589,0.042696678
8,0.032497558,0.038994942
9,0.033014934,0.039373081
10,0.032213364,0.038266755
avg,0.032545503,
min,0.031736957,
max,0.033811589,
