run,time_s,wall_s
1,0.032969152,0.038643071
2,0.032477541,0.038417006
3,0.031460032,0.037346694
4,0.031406520,0.038059521
5,0.032444288,0.039053026
6,0.031781586,0.038001009
7,0.031719913,0.037741511
8,0.031547112,0.037842864
9,0.032052021,0.038220231
10,0.031563549,0.037686281
avg,0.031942171,
min,0.031406520,
max,0.032969152,
